eapa_case,entity_name,role,country,source_pdf
EAPA-7814,"Texas United Chemical Company, LLC",importer,,https://www.cbp.gov/sites/default/files/2024-06/06-05-2024_-_trled_-_determination_as_to_evasion_-_7814_-_pv.pdf
EAPA-7814,"CP Kelco U.S., Inc",alleger,,https://www.cbp.gov/sites/default/files/2024-06/06-05-2024_-_trled_-_determination_as_to_evasion_-_7814_-_pv.pdf
EAPA-7818,"AMVC-Midwest LLC aka Midwest Livestock Systems, LLC",importer,,https://www.cbp.gov/sites/default/files/assets/documents/2024-Apr/04-09-2024%20-%20TRLED%20-%20Determination%20%28508%20compliant%29%20-%20%287818%29%20-%20PV.pdf
EAPA-7818,"Hog Slat, Inc",alleger,,https://www.cbp.gov/sites/default/files/assets/documents/2024-Apr/04-09-2024%20-%20TRLED%20-%20Determination%20%28508%20compliant%29%20-%20%287818%29%20-%20PV.pdf
EAPA-7819,Besttn Industry Inc,importer,,https://www.cbp.gov/sites/default/files/2024-06/05-29-2024_-_trled_-_determination_as_to_evasion_cons_7819_-_pv_508_compliant.pdf
EAPA-7819,United Metal Industries,foreign_supplier,China,https://www.cbp.gov/sites/default/files/2024-06/05-29-2024_-_trled_-_determination_as_to_evasion_cons_7819_-_pv_508_compliant.pdf
EAPA-7821,VY Industries,importer,,https://www.cbp.gov/sites/default/files/2024-11/10-22-24_-_trled_-_determination_as_to_evasion_7821_-_pv.pdf
EAPA-7830,ADI ChemTech LLC,importer,,https://www.cbp.gov/sites/default/files/2024-07/07-09-2024_-_trled_-_notice_of_determination_7830_-_pv_508_compliant.pdf
EAPA-7835,Lighthouse Rock,importer,,https://www.cbp.gov/sites/default/files/2024-12/12-09-2024_-_trled_-_final_determination_7835_-_pv_-_508_compliant_0.pdf
EAPA-7835,Lighthouse Rock Co,alleger,,https://www.cbp.gov/sites/default/files/2024-12/12-09-2024_-_trled_-_final_determination_7835_-_pv_-_508_compliant_0.pdf
EAPA-7838,Musa Stone,importer,,https://www.cbp.gov/sites/default/files/2024-08/08-19-2024_-_trled_-_determination_-_7838_-_pv_508_compliant.pdf
EAPA-7838,KMGK,importer,,https://www.cbp.gov/sites/default/files/2024-08/08-19-2024_-_trled_-_determination_-_7838_-_pv_508_compliant.pdf
EAPA-7838,M. US A. Inc,alleger,,https://www.cbp.gov/sites/default/files/2024-08/08-19-2024_-_trled_-_determination_-_7838_-_pv_508_compliant.pdf
EAPA-7839,AXN Heavy Duty LLC,importer,,https://www.cbp.gov/sites/default/files/2024-08/07-31-2024%20-%20TRLED%20-%20Notice%20of%20Initiation%20of%20Investigation%20and%20Interim%20Measures%20%28508%20compliant%29%20-%20%287839%29%20-%20PV.pdf
EAPA-7841,"BMF Imports, LLC",importer,,https://www.cbp.gov/sites/default/files/2024-10/10-24-2024_-_trled_-_determination_as_to_evasion_7841_-_pv_508_compliant_0.pdf
EAPA-7841,"CP Kelco U.S., Inc",alleger,,https://www.cbp.gov/sites/default/files/2024-10/10-24-2024_-_trled_-_determination_as_to_evasion_7841_-_pv_508_compliant_0.pdf
EAPA-7844,Guy,importer,,https://www.cbp.gov/sites/default/files/2024-10/10-18-2024_-_trled_-_determination_as_to_evasion_508_compliant_-_7844_-_pv.pdf
EAPA-7844,O’Neill Inc,importer,,https://www.cbp.gov/sites/default/files/2024-10/10-18-2024_-_trled_-_determination_as_to_evasion_508_compliant_-_7844_-_pv.pdf
